,SYMP,DRUG
1303,78052,N05AA
1304,7823,N05AX
1305,7840,N06AX
1306,7872,C10AC
1307,5997,J05AF
1308,4279,C09CA
1309,586,L04AD
1310,7821,R01BA
1311,7821,G04BD
1312,7825,N02CA
1313,72885,N06BA
1314,7863,J02AC
1315,7872,A04AD
1316,78900,B02AA
1317,7823,N05CF
1318,78550,B01AF
1319,7821,J05AF
1320,5789,M02AA
1321,7821,H05BX
1322,72885,A10BG
1323,7802,L01EA
1324,7823,C02AB
1325,4111,M01AH
1326,78052,N05BA
1327,78820,N01BB
1328,4279,R01BA
1329,586,S02AA
1330,78820,N05CD
1331,71690,N05AX
1332,7821,M03BB
1333,78052,L01EX
1334,78550,M03BX
1335,3689,D06AA
1336,7825,A16AX
1337,56400,N02AA
1338,7812,N05CF
1339,4589,N05AF
1340,78650,C08CA
1341,4589,N05AX
1342,7821,M01AB
1344,3689,N04BB
1345,7840,A08AB
1346,78550,S01JA
1347,78550,C09CA
1348,7821,L01CE
1349,4131,C08CA
1350,7823,L01AD
1351,3689,S02AA
1352,7823,A10BG
1353,2699,C09AA
1354,5119,A07EC
1355,5849,N05AB
1357,27651,L01XX
1358,3899,G01AA
1359,586,J05AE
1360,78791,N06AX
1361,7821,D11AX
1362,27651,N02CC
1363,4589,N05CD
1364,2875,L01CB
1365,56400,L04AA
1366,7823,S02AA
1367,78550,M02AA
1368,78605,J01DC
1369,5849,S01AA
1370,586,N03AF
1371,7821,M01AH
1372,27651,N06AB
1373,2875,J01DB
1374,56400,N06BA
1375,2875,A07EA
1376,7821,L01EX
1377,78900,N05BA
1378,3689,C07AB
1379,4279,C01EB
1380,2875,R06AB
1381,7840,A16AX
1382,27651,D06BB
1383,2875,N02AA
1384,2699,N06AA
1386,78791,L01XX
1387,27651,S01AA
1388,6959,N05AC
1389,78791,H01CA
1390,5789,A16AX
1391,7872,N03AF
1392,78550,N06AX
1393,37520,N07AB
1394,7840,J05AJ
