,PHARMACLASS,DRUG
3003502,N0000175459,J05A
3003503,N0000000190,R01A
3003504,N0000007246,L01X
3003505,N0000000070,C09C
3003506,N0000007681,N01B
3003507,N0000008118,R03D
3003508,N0000000190,D04A
3003509,N0000175721,M02A
3003510,N0000000100,G03C
3003511,N0000175721,M02A
3003512,N0000185503,J02A
3003513,N0000007522,D01B
3003514,N0000185503,J01F
3003515,N0000166469,C03A
3003516,N0000175508,J02A
3003517,N0000009948,J05A
3003518,N0000009909,C01D
3003519,N0000175684,N01A
3003520,N0000009034,R06A
3003521,N0000184306,C05A
3003522,N0000182638,J05A
3003524,N0000184145,R07A
3003525,N0000175975,N01A
3003526,N0000175721,R02A
3003527,N0000171207,L01X
3003528,N0000007556,C08C
3003529,N0000009059,G04B
3003530,N0000011280,B01A
3003531,N0000175721,M01A
3003532,N0000000190,S01G
3003533,N0000185503,L04A
3003534,N0000175450,A01A
3003535,N0000007853,S01A
3003536,N0000000144,V03A
3003537,N0000191269,J05A
3003539,N0000000070,C09C
3003540,N0000020060,J05A
3003541,N0000008836,M02A
3003542,N0000007948,J01A
3003543,N0000000109,N06A
3003544,N0000175076,L01E
3003545,N0000000236,L01X
3003546,N0000005760,A07E
3003547,N0000007700,D10A
3003548,N0000007780,L01C
3003549,N0000007621,N02C
3003550,N0000175359,C03A
3003551,N0000000233,L01B
3003552,N0000000191,P01B
3003553,N0000175450,C05A
3003555,N0000009947,J05A
3003556,N0000000236,L01A
3003557,N0000175976,N01B
3003558,N0000190108,J05A
3003559,N0000175862,V08C
3003560,N0000007542,N05C
3003561,N0000175459,J05A
3003562,N0000000106,G04B
3003563,N0000007681,N01B
3003564,N0000175721,M02A
3003565,N0000175651,A08A
3003566,N0000175975,N01A
3003567,N0000000183,P03A
3003569,N0000185504,C01B
3003571,N0000175651,N06B
3003572,N0000175862,V08C
3003573,N0000175654,H01C
3003574,N0000175921,L02B
3003575,N0000175450,D07A
3003576,N0000011161,J01D
3003577,N0000010258,V08A
3003579,N0000175459,L04A
3003580,N0000175450,C05A
3003581,N0000175732,M03A
3003582,N0000166743,N01B
3003583,N0000000236,L01A
3003584,N0000191280,J01X
3003585,N0000000236,L01A
3003586,N0000007663,J01X
3003587,N0000175862,V08C
3003588,N0000175684,N02A
3003589,N0000000190,R06A
3003590,N0000175374,A10B
3003591,N0000175964,B01A
3003592,N0000191258,J05A
3003593,N0000007715,C01C
3003594,N0000008157,C01A
3003595,N0000175076,L01E
3003596,N0000175684,N02A
3003597,N0000182638,J05A
3003598,N0000175445,J05A
3003599,N0000190118,J05A
3003600,N0000007706,S01E
3003601,N0000008217,J02A
3003602,N0000187063,N03A
3003603,N0000175684,N02A
3003604,N0000011161,J01D
3003605,N0000011281,J01C
