,SYMP,DRUG
918,7823,L01A
919,7821,C01C
920,27651,N02A
921,7823,L01D
922,7823,V03A
923,5997,J01D
924,4111,N07B
925,7890,J05A
926,7840,R06A
927,2875,J01D
928,6959,N02B
929,7882,N04B
930,5789,L01C
931,7890,J05A
932,6959,J01X
933,7865,N03A
934,4111,C10A
935,78791,P01B
936,7821,C10A
937,6959,D10A
938,2875,V03A
939,2699,N05C
940,7231,N02C
942,7823,B05B
943,4589,C01C
944,72885,C09A
945,7823,L01E
946,7872,L01B
947,7840,N01A
948,5997,M03B
949,5849,M05B
950,7823,C07A
951,7840,M01A
952,7855,N04B
953,4589,N05A
954,2875,J04A
955,7295,N05B
956,7855,C03C
957,3689,J01M
958,5640,L01A
959,78605,S01G
960,78791,N05A
961,7890,N03A
962,7295,G04B
963,78605,C09A
964,7865,M05B
965,7855,N06D
966,5860,N05B
967,7840,L01B
968,7821,G04C
969,2875,R05D
970,7231,N07A
971,7865,L01E
972,5860,C10A
973,7890,H05B
974,9916,N04B
975,78052,N06B
976,6959,S02A
977,2875,J01A
978,78052,C07A
979,6959,N03A
980,78052,N05A
981,78605,S01E
982,5849,C03D
983,7907,L01B
984,7865,L01A
985,7890,N02B
986,78791,N06B
987,5640,C03A
988,7840,R03D
989,5849,L01X
990,7855,J05A
991,7821,N02C
992,4131,N02C
993,7907,J01D
995,4589,C09C
996,7872,N03A
997,5860,L01B
998,7802,C08C
999,5640,L01A
1000,5789,M01A
1001,7855,L01X
1002,78791,N04B
1003,3689,C01B
1004,78052,N05A
1005,3899,C07A
1006,7802,N03A
1007,5860,B05C
1008,2875,L01X
1009,4279,G04B
1010,78605,A03B
1011,4279,L01B
1012,7840,J05A
1013,78052,M03B
1014,7823,L01X
1015,7802,B01A
1016,2875,B01A
1017,7865,C09C
1018,78791,J01D
1019,7865,C07A
1020,5849,M01A
1021,3689,N06A
1022,7863,N04B
1023,3689,D05B
1024,7855,M03B
1025,7890,P01B
1026,27651,C01E
1027,5640,S01G
1028,78605,V03A
1029,7882,N06A
1030,5860,L04A
1031,7882,S01F
1032,3689,M01A
1033,7821,A10B
1034,7169,J01M
1035,78605,J05A
1036,7821,M01A
1037,5860,M01A
1038,5849,J05A
1039,7890,M05B
1040,5789,G01A
1041,7865,C03B
1042,7840,R03C
1043,2875,J01E
1044,78052,C07A
1045,5640,A07E
1046,2875,C03B
1047,78605,L01B
1048,78605,J01E
1049,72885,N05C
1050,72885,G04B
1051,5849,J01M
1052,7863,N06A
1053,7823,N06A
1054,7890,A04A
1055,7863,C10A
1056,78605,C07A
1057,7840,N05A
1058,7821,L01X
1059,72885,M03B
1061,7840,C05A
1062,7865,L01X
1063,5860,L01E
1064,7855,L01D
1065,7855,N05A
1066,78791,L01X
1067,78605,L02B
1068,7855,H05B
1069,78052,D07A
1070,5640,C07A
1071,5640,N06B
1072,7890,S01A
1073,7872,J05A
1074,78791,C02C
1075,78551,L01D
1076,4589,D06B
1077,7865,C10A
1078,78052,J02A
1079,9916,M05B
1081,7821,N06B
1082,5849,C09A
1083,72885,N05C
1084,7865,N06D
1085,78791,L01B
1086,5640,M01A
1087,78052,J05A
1088,7821,C01B
1089,4589,C08C
1090,2699,J02A
1091,7231,L01B
1092,7823,M03B
1093,6959,D08A
1094,78791,C09C
1095,7840,C09C
1096,5119,J01M
1097,6959,A07E
1098,7865,J01M
1099,7840,L01E
1100,5849,J01D
1101,3709,S03B
1102,3689,A10B
1103,5781,N03A
1104,72885,A03F
1105,78791,L01C
1106,4850,S01A
1107,7295,J05A
1108,4589,N05B
1109,5640,J01M
1110,7169,M01A
1112,7865,C09A
1113,2875,C03A
1114,78605,N06A
1115,7855,C07A
1116,7855,R03A
1117,78052,J01M
1118,5119,L04A
1119,5997,N07X
1120,7890,N06A
1121,78605,C03A
1122,7821,N06A
1123,5849,C10A
1125,78791,R03B
1126,5860,C09A
1127,7840,N05C
1128,78052,N06A
1129,78791,A04A
1130,7821,G04B
1131,72885,L02B
1132,4279,C01B
1133,5860,C09A
1134,78791,J05A
1135,4279,C01C
1136,5997,N05C
1137,7890,J05A
1138,7882,L01A
1139,7821,N05B
1140,5789,D01A
1141,2875,A04A
1143,78551,C01B
1144,7890,C01E
1145,7823,A02B
1146,7821,B05B
1147,7823,N05A
1148,5860,D06A
1149,2699,G04B
1150,7840,J01A
1151,7823,S03B
1152,7882,N01B
1153,5860,L01A
1154,7821,D06A
1155,27651,N06B
1156,78605,N04B
1157,5849,H03B
1158,5789,V03A
1159,78052,N05A
1160,7802,N05A
1161,2699,L01B
1163,78605,L01A
1164,78605,L04A
1165,5780,J01M
1166,7821,L01A
1167,2699,N02A
1168,3899,N04B
1169,4279,J02A
1170,7865,N02C
1171,4589,L01B
1172,5860,G04B
1173,5640,N05A
1174,4279,N06A
1175,7242,N02A
1176,72885,G04B
1177,7872,S01F
1178,2875,N06A
1179,7863,B01A
1180,72885,J05A
1181,4589,L04A
1182,7242,R05D
1183,7872,J02A
1184,7840,A10B
1185,5849,L01X
1186,78052,D06B
1187,4279,R05D
1188,7821,A10B
1189,5640,S01E
1190,78605,S01F
1191,5640,C09A
1192,5997,N03A
1193,5781,N06D
1194,5119,N01B
1195,5849,N05C
1196,7855,S01G
1197,6959,N01A
1198,5119,L01E
1199,78605,C08C
1200,7840,R05D
1201,7882,J05A
1202,5860,L01X
1203,78605,N03A
1204,3752,C09A
1205,78605,C10A
1206,7823,A10B
1207,7865,H05B
1208,2875,C07A
1209,5780,B01A
1210,5860,B05B
1211,78052,C01B
1212,78906,R03C
1213,5849,L01D
1214,2699,C08C
1215,78791,C01B
1216,7823,G03D
1217,7882,N05A
1218,7890,C10A
1219,5997,N03A
1220,7840,J01D
1221,7890,A10B
1222,78791,L01D
1223,7231,C07A
1224,7169,C08C
1225,7821,N03A
1226,7855,L01E
1227,5860,L01C
1228,7823,A07E
1229,27651,J05A
1230,7882,C07A
1231,78605,N05A
1232,5997,J01F
1233,78791,R03D
1234,7823,N02B
1235,2875,N01B
1236,7802,G03B
1237,78791,G03X
1239,7855,L04A
1240,7840,N07B
1241,78052,R03D
1242,72885,N06B
1243,7295,L01B
1245,7821,J01M
1246,7823,N05B
1247,78791,P01A
1248,72885,N02C
1249,7821,N05B
1250,5789,N02A
1251,7863,J01D
1252,78052,N05C
1253,5640,N05C
1254,7823,S01E
1255,6959,J01M
1257,7295,C03D
1258,78791,M01A
1259,72885,N05A
1260,2875,J01M
1261,72885,M05B
1262,7855,D07A
1263,7821,D05A
1264,5849,J04A
1265,5849,L04A
1266,7821,A10B
1267,7840,A04A
1268,5997,L04A
1269,4279,L01A
1271,7840,B01A
1272,7821,M01A
1273,7840,N05B
1274,4279,N05B
1275,78052,G04C
1276,27651,J05A
1277,7821,C03C
1278,78551,C07A
1279,7863,L01E
1280,7231,J05A
1281,72885,M05B
1282,78052,C08C
1283,4589,C09A
1284,7840,N05C
1285,7821,N05A
1286,3752,G03B
1287,7840,J01D
1288,7872,N05A
1289,7812,J01M
1290,78791,L01E
1291,7882,L01B
1292,6959,R01A
1293,4850,L01C
1294,78791,N04B
1295,7802,N05C
1296,7872,A02B
1297,7865,J04A
1298,5789,J01M
1299,7821,N06A
1300,2699,N03A
1301,7840,L01C
1302,4589,C02A
1303,78052,N05A
1304,7823,N05A
1305,7840,N06A
1306,7872,C10A
1307,5997,J05A
1308,4279,C09C
1309,5860,L04A
1310,7821,R01B
1311,7821,G04B
1312,7825,N02C
1313,72885,N06B
1314,7863,J02A
1315,7872,A04A
1316,7890,B02A
1317,7823,N05C
1318,7855,B01A
1319,7821,J05A
1320,5789,M02A
1321,7821,H05B
1322,72885,A10B
1323,7802,L01E
1324,7823,C02A
1325,4111,M01A
1326,78052,N05B
1327,7882,N01B
1328,4279,R01B
1329,5860,S02A
1330,7882,N05C
1331,7169,N05A
1332,7821,M03B
1333,78052,L01E
1334,7855,M03B
1335,3689,D06A
1336,7825,A16A
1337,5640,N02A
1338,7812,N05C
1339,4589,N05A
1340,7865,C08C
1341,4589,N05A
1342,7821,M01A
1344,3689,N04B
1345,7840,A08A
1346,7855,S01J
1347,7855,C09C
1348,7821,L01C
1349,4131,C08C
1350,7823,L01A
1351,3689,S02A
1352,7823,A10B
1353,2699,C09A
1354,5119,A07E
1355,5849,N05A
1357,27651,L01X
1358,3899,G01A
1359,5860,J05A
1360,78791,N06A
1361,7821,D11A
1362,27651,N02C
1363,4589,N05C
1364,2875,L01C
1365,5640,L04A
1366,7823,S02A
1367,7855,M02A
1368,78605,J01D
1369,5849,S01A
1370,5860,N03A
1371,7821,M01A
1372,27651,N06A
1373,2875,J01D
1374,5640,N06B
1375,2875,A07E
1376,7821,L01E
1377,7890,N05B
1378,3689,C07A
1379,4279,C01E
1380,2875,R06A
1381,7840,A16A
1382,27651,D06B
1383,2875,N02A
1384,2699,N06A
1386,78791,L01X
1387,27651,S01A
1388,6959,N05A
1389,78791,H01C
1390,5789,A16A
1391,7872,N03A
1392,7855,N06A
1393,3752,N07A
1394,7840,J05A
1395,5997,P01B
1396,78605,N05A
1397,7840,C10A
1398,7855,N05A
1399,7890,S01E
1400,78605,C08C
1401,7855,L01B
1402,7907,J01C
1403,7825,J02A
1404,7855,G03C
1405,5640,N05C
1406,7823,C03A
1407,7231,R03A
1408,2875,C09A
1409,7890,C07A
1410,7823,J01C
1411,7890,N03A
1412,5780,N03A
1413,78906,R03D
1414,78791,L01C
1415,7882,A02B
1416,78052,J01M
1417,6959,C08D
1418,5860,J01D
1419,7821,L01X
1420,7825,N05A
1421,7840,V03A
1422,7872,N06D
1423,3752,G04B
1424,4589,R02A
1425,7882,L01A
1426,7855,N02C
1427,78605,R03A
1428,7169,A02B
1429,5640,N05C
1430,5997,A07A
1431,2699,J05A
1432,7865,C09A
1433,4279,A10B
1434,78605,N06A
1435,27651,N06A
1436,7821,D05A
1438,7865,C04A
1439,7802,L01X
1440,5997,B02A
1441,7821,A03F
1442,5119,N04B
1443,78791,C10A
1444,7907,J01C
1445,2875,C03A
1446,7855,C07A
1448,7863,C01B
1449,7895,L01C
1450,7823,M01A
1451,78791,G02A
1452,7295,N04B
1453,7821,J05A
1454,2875,C07A
1455,78052,J01M
1456,2875,C03C
1457,5860,N02A
1458,5860,M03B
1459,78791,G04B
1460,5640,C09C
1461,7840,N06A
1462,7821,A02B
1463,7890,J01D
1464,7295,J05A
1465,5860,A05A
1466,7872,N03A
1468,7890,N06A
1469,7295,N02C
1470,7840,N04B
1471,5789,L01B
1472,7890,L01E
1473,7169,N06A
1474,72885,C03C
1475,7825,N05A
1476,4111,A10B
1477,7802,N02C
1478,7823,N05B
1479,78052,S01A
1480,7812,N05A
1481,4589,A09A
1483,7840,R06A
1484,72885,L01X
1485,7865,N03A
1486,7840,A02B
1488,7823,G04B
1489,7821,H02A
1490,5849,M03B
1492,7855,N03A
1493,7231,L04A
1494,3752,N06A
1495,78605,J01M
1496,3752,C08C
1497,7890,J05A
1498,5640,G04B
1499,78791,L01X
1500,5789,G02C
1501,7823,G04C
1502,7823,N06A
1503,78791,M01A
1504,7840,J02A
1506,4111,L01C
1507,7821,N06A
1508,7242,N02A
1509,7840,N03A
1510,3899,G04B
1511,78057,N05B
1512,4279,C01C
1513,7840,C01C
1514,78791,C03A
1515,5640,B01A
1516,7821,L01D
1517,78052,N02B
1518,72885,C03B
1519,3709,J01M
1520,5997,N06A
1521,7840,A03F
1522,3752,R06A
1524,5640,C03B
1525,7802,N02C
1526,72885,C09C
1527,5640,D11A
1528,78791,V03A
1529,7169,N04B
1530,4279,N03A
1531,5640,N07X
1532,78605,N06B
1533,7802,N04B
1534,7890,L01B
1535,7890,R03D
1536,78791,A10B
1537,7840,A01A
1538,5640,A02B
1539,78194,C10A
1540,72885,C08D
1541,78605,N07X
1542,78791,J05A
1543,7840,P01A
1544,7840,N02A
1545,72885,N02B
1546,78791,B01A
1547,78605,C07A
1548,78605,L01D
1549,5997,B01A
1550,7823,S01E
1551,78605,C07A
1552,7821,C07A
1553,6959,N05B
1554,4589,N02C
1555,5860,A10B
1556,5640,A02B
1557,5860,C03C
1558,3689,A02B
1559,78791,N06B
1560,5860,J01D
1561,5860,N03A
1562,7865,N05C
1563,7890,C03D
1564,4279,C09C
1566,78052,L02B
1567,5789,N06D
1568,5640,C07A
1570,7855,M05B
1571,7863,N05A
1572,7821,C09C
1573,78791,J01E
1574,7840,N06B
1575,7802,L01B
1576,7840,S01F
1577,7823,J01M
1578,7840,M02A
1579,2875,L01X
1580,7890,N05A
1581,5119,L01C
1582,72885,N02A
1583,7821,S02A
